uid,mid,rating
0,0,5
0,1,4
0,2,5
0,3,5
0,4,4
0,5,4
0,6,3
0,7,4
0,8,4
0,9,5
0,10,5
0,11,4
0,12,3
0,13,4
0,14,4
1,15,5
1,16,1
1,17,5
1,18,3
1,6,5
1,19,4
1,8,4
1,20,1
1,21,1
1,22,4
1,23,1
1,24,1
1,25,1
1,26,1
1,27,5
1,28,5
1,29,1
2,30,5
2,31,5
2,32,5
2,33,4
2,34,4
2,35,5
2,36,5
2,22,5
2,37,5
2,38,4
2,39,5
2,40,5
2,41,5
2,42,5
2,43,5
2,44,5
2,45,5
2,46,5
2,47,5
2,48,5
2,49,5
2,50,5
2,51,5
2,52,3
2,3,5
2,53,5
2,54,2
2,55,4
2,56,3
2,57,5
2,58,5
2,59,4
2,60,4
2,61,5
2,62,5
2,63,5
2,64,4
2,65,4
2,66,5
2,67,3
2,68,3
2,69,5
2,70,5
2,71,4
2,72,5
2,9,5
2,73,4
2,74,5
2,75,5
2,76,5
2,77,5
2,78,5
2,79,5
2,80,5
2,81,5
2,82,3
2,83,3
2,84,5
2,85,5
2,86,5
2,87,5
2,88,5
2,89,5
2,90,4
2,91,4
2,92,5
2,93,4
2,94,3
2,95,5
2,96,4
2,97,5
2,98,5
2,99,5
3,100,3
3,101,3
3,102,4
3,103,4
3,18,3
3,104,4
3,6,4
3,19,3
3,105,3
3,106,4
3,107,2
3,91,3
3,108,3
3,109,4
3,47,3
3,10,4
3,25,3
3,27,5
4,110,4
4,106,5
4,111,1
4,104,4
4,112,1
4,10,5
4,105,5
4,113,1
4,114,5
4,26,5
4,115,5
5,116,5
5,117,5
5,118,5
5,119,4
5,15,5
5,120,5
5,121,4
5,18,5
5,122,5
5,123,5
5,124,5
5,125,4
5,126,5
5,127,5
5,70,4
5,128,5
5,9,5
5,129,5
5,130,5
5,131,5
5,132,4
5,28,5
5,133,5
5,103,4
5,134,5
5,79,5
5,135,5
5,80,5
5,136,5
5,20,3
5,137,1
5,90,3
5,138,5
5,139,5
5,140,5
5,141,5
5,142,4
5,143,5
5,10,5
5,144,5
5,145,5
5,26,5
5,146,5
5,147,5
5,148,5
6,149,5
6,150,5
6,151,5
6,152,5
6,153,5
6,154,5
6,155,5
6,156,5
6,157,5
6,158,5
6,159,5
6,160,5
6,161,5
6,162,4
6,163,5
6,164,4
6,165,5
6,166,5
6,167,5
7,168,5
7,101,5
7,169,5
7,170,5
7,35,5
7,8,5
7,171,5
7,36,2
7,172,5
7,173,4
7,174,5
7,108,5
7,109,1
7,175,5
7,176,3
7,10,5
7,177,5
7,115,5
7,29,1
8,178,5
8,168,1
8,17,5
8,66,5
8,19,4
8,179,4
8,180,5
8,10,4
8,181,3
8,27,5
8,28,4
9,106,5
9,182,4
9,183,1
9,184,3
9,185,3
9,186,4
9,175,5
9,187,5
9,188,5
9,105,1
9,189,5
9,190,4
10,191,5
10,192,5
10,193,5
10,194,4
10,195,5
10,196,5
10,103,5
10,135,4
10,81,4
10,197,4
10,19,4
10,198,5
10,199,5
10,200,5
10,201,3
10,172,3
10,202,4
10,203,5
10,9,5
10,10,5
10,165,4
10,204,4
10,205,4
10,206,4
11,207,5
11,208,4
11,209,4
11,19,4
11,6,5
11,8,4
11,210,1
11,211,3
11,212,4
11,213,5
11,26,5
12,214,5
12,215,5
12,216,5
12,217,5
12,6,5
12,169,5
12,35,5
12,218,4
