mid,genre
1800010969,Special Interest
1800011786,Science Fiction/Fantasy
1800011850,Special Interest
1800012991,Western
1800013061,Kids/Family
1800013065,Kids/Family
1800013067,Kids/Family
1800013173,Comedy
1800013223,Action/Adventure
1800013296,Comedy
1800013557,Western
1800013559,Western
1800013561,Kids/Family
1800013563,Action/Adventure
1800013578,Kids/Family
1800013580,Kids/Family
1800013582,Kids/Family
1800013584,Kids/Family
1800013586,Kids/Family
1800013588,Kids/Family
1800013632,Kids/Family
1800014229,Special Interest
1800014384,Special Interest
1800014841,Suspense/Horror
1800015027,Kids/Family
1800015177,Science Fiction/Fantasy
1800015414,Drama
1800015492,Comedy
1800015566,Comedy
1800015578,Kids/Family
1800015778,Special Interest
1800015780,Special Interest
1800015784,Special Interest
1800015786,Special Interest
1800015788,Special Interest
1800015790,Special Interest
1800015792,Special Interest
1800015794,Special Interest
1800015796,Special Interest
1800015798,Special Interest
1800015802,Special Interest
1800015804,Special Interest
1800015820,Special Interest
1800016230,Kids/Family
1800016253,Special Interest
1800016255,Special Interest
1800016257,Special Interest
1800016259,Special Interest
1800016261,Special Interest
1800016488,Special Interest
1800016583,Suspense/Horror
1800016775,Musical/Performing Arts
1800016952,Drama
1800017329,Special Interest
1800017652,Drama
1800017717,Drama
1800017914,Special Interest
1800017973,Special Interest
1800018146,Action/Adventure
1800018362,Action/Adventure
1800018406,Art/Foreign
1800018548,Comedy
1800018575,Comedy|Documentary
1800018578,Thriller
1800018591,Comedy|Drama
1800018600,Thriller
1800018611,Art/Foreign|Drama
1800018620,Comedy
1800018623,Comedy|Drama
1800018632,Drama
1800018639,Comedy
1800018653,Comedy
1800018654,Comedy|Crime/Gangster
1800018659,Comedy|Kids/Family
1800018665,Suspense/Horror|Thriller
1800018669,Drama|Romance
1800018676,Comedy
1800018694,Drama|Romance
1800018697,Comedy|Kids/Family
1800018701,Drama|Thriller
1800018707,Drama
1800018710,Comedy|Drama
1800018720,Art/Foreign|Comedy
1800018722,Action/Adventure|Drama
1800018727,Comedy|Romance
1800018732,Drama|Action/Adventure
1800018733,Action/Adventure|Comedy
1800018737,Drama
1800018745,Comedy
1800018746,Comedy
1800018755,Suspense/Horror
1800018761,Drama|Thriller
1800018762,Documentary
1800018772,Art/Foreign
1800018783,Comedy
1800018791,Drama
1800018796,Thriller
1800018802,Romance
1800018805,Comedy|Drama
1800018810,Drama
1800018819,Drama|Romance
1800018827,Documentary
1800018831,Drama
1800018840,Documentary
1800018844,Action/Adventure|Science Fiction/Fantasy|Thriller
1800018850,Comedy
1800018857,Comedy
1800018862,Comedy|Romance
1800018867,Action/Adventure|Thriller
1800018871,Comedy|Kids/Family
1800018881,Drama
1800018889,Comedy
1800018892,Comedy
1800018902,Comedy
1800018905,Comedy
1800018914,Comedy
1800018916,Thriller
1800018923,Documentary|Drama
1800018932,Comedy|Drama
1800018933,Action/Adventure|Science Fiction/Fantasy
1800018937,Comedy|Musical/Performing Arts
1800018938,Drama
1800018964,Drama
1800018967,Drama|Romance
1800018968,Comedy|Romance
1800018978,Comedy|Drama
1800018988,Drama|Thriller
1800018991,Comedy
1800018999,Drama
1800019004,\N
1800019009,Drama
1800019023,Comedy|Drama
1800019026,Drama|Musical/Performing Arts
1800019031,Art/Foreign|Drama
1800019037,Comedy|Romance
1800019042,Comedy|Drama
1800019048,Suspense/Horror|Thriller
1800019055,Comedy|Suspense/Horror
1800019062,Thriller
1800019064,Drama|Thriller
1800019068,Action/Adventure|Comedy|Kids/Family
1800019078,Drama
1800019080,Comedy|Drama
1800019084,Peter Kassovitz
1800019089,Comedy
1800019098,Suspense/Horror|Thriller
1800019105,Drama
1800019107,Drama
1800019111,Action/Adventure|Comedy
1800019116,Comedy
1800019123,Drama
1800019126,Drama
1800019131,Comedy|Romance
1800019143,Comedy|Romance
1800019151,Drama|Romance
1800019154,Romance
1800019155,Comedy|Romance|Crime/Gangster
1800019159,Art/Foreign
1800019162,Comedy
1800019172,Comedy|Kids/Family
1800019183,Drama|Romance
1800019187,Comedy
1800019191,Action/Adventure|Comedy
1800019201,Comedy|Romance
1800019214,Comedy|Romance
1800019218,Drama
1800019224,Documentary
1800019228,Drama
1800019235,Comedy
1800019244,Comedy|Drama
1800019246,Action/Adventure|Thriller|Crime/Gangster
1800019253,Documentary|Drama
1800019257,Comedy
1800019263,Action/Adventure|Drama
1800019267,Drama|Romance
1800019274,Comedy
1800019280,Kids/Family
1800019286,Drama|Romance|Thriller
1800019288,Drama
1800019292,Art/Foreign|Drama|Romance
1800019295,Art/Foreign
1800019297,Action/Adventure|Art/Foreign|Thriller
1800019301,Comedy|Romance
1800019304,Action/Adventure|Drama
1800019310,\N
1800019316,Comedy|Romance
1800019320,Drama
1800019324,Comedy
1800019333,Action/Adventure
1800019337,Comedy
1800019357,Comedy
1800019361,Action/Adventure|Science Fiction/Fantasy
1800019373,Drama|Romance
1800019376,Comedy|Drama
1800019380,Comedy
1800019388,Thriller
1800019391,Comedy|Romance
1800019405,Comedy
1800019417,Drama
1800019427,Comedy
1800019431,Kids/Family
1800019440,Action/Adventure
